code,meaning
---,---
country,'country code'
10,'singapore'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
8,"""can't choose"""
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
8,"""can't choose"""
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
9,'decline to answer'
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
3,'so-so [not good nor bad]'
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
9,'decline to answer'
q6,   'what do you think the economic situation of your family will be a few years from now?'
8,"""can't choose"""
q6,   'what do you think the economic situation of your family will be a few years from now?'
9,'decline to answer'
q8,'the courts'
9,'decline to answer' /
q9,'national government in the capital city'
9,'decline to answer' /
q11,'parliament'
9,'decline to answer' /
q16,'16 newspaper'**
3,'quite a lot of trust'
q17,'17 television'**
3,'quite a lot of trust'
q24,"'how much trust do you have in esch of the following types of people? ""your relatives"" '"
4,'a great deal of trust'
q49,'how interested would you say you are in politics?'
3,'somewhat interested'
q50,'how often do you follow news about politics and government?'*
4,' several times a week'
q50,'how often do you follow news about politics and government?'*
5,' everyday'
q52,"'when you get together with your family members or friends, how often do you discuss political matters?(new)'"
2,'occasionally'
q53,'how much impact do you feel government policies have on your daily life? (hong kong: beijing government)'*
1,'no impact at all'
q53,'how much impact do you feel government policies have on your daily life? (hong kong: beijing government)'*
3,'quite some impact'
q62,"'when dealing with others, securing onexa5x8cs immediate interests should be more important than developing a long-term relationship. (new)'"
8,'canxa5x8ct choose'
q66,'how often do you use the internet? (new)'*
5,'hardly ever'
q66,'how often do you use the internet? (new)'*
7,'do not understand the question'
q67,'how closely do you follow major events in foreign countries / the world? (new)'*
3,'not too closely'
q79,   'contacted government (administrative) official.'
3,'never done'
q81,   'contacted elected officials or legislative representatives at any level.'
3,'never done'
q92," 'people often differ in their views on the characteristic that is essential to democracy. if you have to choose only one of the things that i am going to read, which one would you choose as the most essential to a democracy? (please read out options 1 to 4) (new)'"
1,'opportunity to change the government through elections'
q92," 'people often differ in their views on the characteristic that is essential to democracy. if you have to choose only one of the things that i am going to read, which one would you choose as the most essential to a democracy? (please read out options 1 to 4) (new)'"
7,'don't understand'
q95, 'where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? '
5,
q108,   'everyone is treated equally by the government.'
8,'canxa5x8ct choose'
q119,   'have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?'
8,'canxa5x8ct choose'
q119,   'have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?'
9,'decline to answer'
q120,"   'in your opinion, is the government working to crackdown corruption and root out bribes? (new)'"
0,'it is doing this effectively'
q121,   'which of the following statements comes closest to your own opinion?'
7,'don't understand'
q122,   'which of the following statements comes closer to your own view?'
7,'don't understand'
q123,"   'if you had to choose between democracy and economic development, which would you say is more important?'"
1,'economic development is definitely more important  '
q123,"   'if you had to choose between democracy and economic development, which would you say is more important?'"
7,'don't understand'
q124,   'we should get rid of parliament and elections and have a strong leader decide things. '
2,'approve'
q127,   'i think i have the ability to participate in politics.'
2,'somewhat agree'
q128,   'sometimes politics and government seems so complicated that a person like me canxa5x8ct really understand what is going on.'
3,'somewhat disagree'
se6,'religion'
40,'islam'
se6,'religion'
70,'other asian religions'
---,---
q1,   'how would you rate the overll economic condition of our country today?'
5,'very good'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
5,'much better'
q3,   'what do you think will be the state of our country's economic condition a few years from now?'
5,'much better'
q8,'the courts'
4,'a great deal of trust'
q9,'national government in the capital city'
4,'a great deal of trust'
q10,'political parties'
4,'a great deal of trust'
q11,'parliament'
4,'a great deal of trust'
q13,'the military'
4,'a great deal of trust'
q14,'the police'
4,'a great deal of trust'
q48,'how would you describe the present political situation in our country? (new)'*
1,'very good'
q116,   'how well do you think the government responds to what people want?'
1,'very responsive'
q133,   'people with little or no education should have as much say in politics as highly-educated people.'
9,'decline to answer'
q140,"   'if people have too many different ways of thinking, society will be chaotic.'"
7,'don't understand'
---,---
level3,'urban-rural'
1,'very bad'
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
2,'bad'
q5,   'how would you compare the current economic condition of your family with what it was a few years ago?'
3,'about the same'
q6,   'what do you think the economic situation of your family will be a few years from now?'
3,'about the same'
q8,'the courts'
2,'not very much trust'
q9,'national government in the capital city'
8,"""can't choose"""
q10,'political parties'
8,"""can't choose"""
q13,'the military'
8,"""can't choose"""
q14,'the police'
2,'not very much trust'
q14,'the police'
8,"""can't choose"""
q15,'local government
2,'not very much trust'
q15,'local government
8,"""can't choose"""
q20,are you a member of any organization or formal groups?*
1,'yes'
q50,'how often do you follow news about politics and government?'*
1,' practically never'
q56,"'even if parents' demands are unreasonable, children still should do what they ask.'"
8,'canxa5x8ct choose'
q58,"'when one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person.'"
8,'canxa5x8ct choose'
q60,"'for the sake of the family, the individual should put his personal interests second. '"
3,'somewhat disagree'
q60,"'for the sake of the family, the individual should put his personal interests second. '"
8,'canxa5x8ct choose'
q66,'how often do you use the internet? (new)'*
2,'at least once a week '
q68,"'have you traveled abroad before? if you have, how often do you travel abroad? (new)'*"
2,'almost once a year'
q76,"'for the sake of the national community/society, the individual should be prepared to sacrifice his/her personal interest. '"
3,'somewhat disagree'
q76,"'for the sake of the national community/society, the individual should be prepared to sacrifice his/her personal interest. '"
8,'canxa5x8ct choose'
q98," 'here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. if xa5xa71xa5xa8 means that democracy is completely unsuitable for [name of country] today and xa5xa710xa5xa8 means that it is  completely suitable, where would you place our country today?'"
6,
q104,   'our current courts always punish the guilty even if they are high-ranking officials.'n
3,'somewhat disagree'
q108,   'everyone is treated equally by the government.'
3,'somewhat disagree'
q109,"   'people have basic necessities like food, clothes, and shelter.'"
8,'canxa5x8ct choose'
q110,   'people are free to speak what they think without fear.'
3,'somewhat disagree'
q113,   'how often do national government officials abide by the law? (hong kong: hk government)n'
3,'occasionally'
q130,   'you can generally trust the people who run our government to do what is right. (hk: hong kong government)'
3,'somewhat disagree'
q134,   'government leaders are like the head of a family; we should all follow their decisions.'
3,'somewhat disagree'
q135,   'the government should decide whether certain ideas should be allowed to be discussed in society.'
3,'somewhat disagree'
q152,"   'citizens should always obey laws and regulations, even if they disagree with them.(new)'**"
3,'somewhat disagree'
q153,"   'a citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.""(new)'**"
8,'canxa5x8ct choose'
q154,   'how proud are you to be a citizen of (country)? are you? (new)n'
3,'not very proud'
se6,'religion'
20,'protestant'
se6,'religion'
76,'taoism'
se13,   'subjective social status. people sometimes think of the social status of their families in terms of being high or low. imagine a ladder with 10 steps. at step one stand the lowest status and step 10 stand the highest. where would you place your family on the following scale?'
3,
---,---
q4,"   'as for your own family, how do you rate the economic situation of your family today?'"
1,'very bad'
q5,   'how would you compare the current economic condition of your family with what it was a few years ago?'
1,'much worse now'
q10,'political parties'
1,'none at all'
q16,'16 newspaper'**
1,'none at all'
q17,'17 television'**
1,'none at all'
q20,are you a member of any organization or formal groups?*
1,'yes'
q20,are you a member of any organization or formal groups?*
2,'no'
q32,"'generally speaking, how safe is living in this city/ town/ village xa5v very safe, safe, unsafe or very unsafe? '"
8,'canxa5x8ct choose'
q68,"'have you traveled abroad before? if you have, how often do you travel abroad? (new)'*"
8,'canxa5x8ct choose'
q79,   'contacted government (administrative) official.'
8,'can't choose'
q96, 'where would you place our country under the present government?'
2,
q96, 'where would you place our country under the present government?'
3,
q96, 'where would you place our country under the present government?'
4,
q97, 'to what extent would you want our country to be democratic now?'
3,
q98," 'here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. if xa5xa71xa5xa8 means that democracy is completely unsuitable for [name of country] today and xa5xa710xa5xa8 means that it is  completely suitable, where would you place our country today?'"
3,
q98," 'here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. if xa5xa71xa5xa8 means that democracy is completely unsuitable for [name of country] today and xa5xa710xa5xa8 means that it is  completely suitable, where would you place our country today?'"
4,
q113,   'how often do national government officials abide by the law? (hong kong: hk government)n'
4,'rarely'
se6,'religion'
78,'confucianism'
se6,'religion'
79,'tiruray'
---,---
country,'country code'
9,'indonesia'
q8,'the courts'
8,"""can't choose"""
q9,'national government in the capital city'
3,'quite a lot of trust'
q11,'parliament'
8,"""can't choose"""
q12,'civil service'
2,'not very much trust'
q12,'civil service'
8,"""can't choose"""
q13,'the military'
3,'quite a lot of trust'
q13,'the military'
9,'decline to answer' /
q14,'the police'
3,'quite a lot of trust'
q16,'16 newspaper'**
2,'not very much trust'
q16,'16 newspaper'**
8,"""can't choose"""
q17,'17 television'**
2,'not very much trust'
q23,"'general speaking, would you say that ""most people can be trusted"" or ""that you must be very careful"
8,"""can't choose"""
q24,"'how much trust do you have in esch of the following types of people? ""your relatives"" '"
3,'quite a lot of trust'
q49,'how interested would you say you are in politics?'
2,'not very interested'
q50,'how often do you follow news about politics and government?'*
3,' once or twice a week'
q56,"'even if parents' demands are unreasonable, children still should do what they ask.'"
3,'somewhat disagree'
q58,"'when one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person.'"
3,'somewhat disagree'
q62,"'when dealing with others, securing onexa5x8cs immediate interests should be more important than developing a long-term relationship. (new)'"
3,'somewhat disagree'
q73,'the best way to deal with complicated political issues should be to leave them to the future. (new)'*
3,'somewhat disagree'
q75,'cruel criminals should be punished immediately without regard to time-consuming legal processes. (new)'*
2,'somewhat agree'
q77,'the most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure.'*
3,'somewhat disagree'
q95, 'where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? '
97,'don't understand'
q96, 'where would you place our country under the present government?'
6,
q96, 'where would you place our country under the present government?'
7,
q96, 'where would you place our country under the present government?'
97,'don't understand'
q97, 'to what extent would you want our country to be democratic now?'
7,
q97, 'to what extent would you want our country to be democratic now?'
8,
q97, 'to what extent would you want our country to be democratic now?'
9,
q97, 'to what extent would you want our country to be democratic now?'
97,'don't understand'
q98," 'here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. if xa5xa71xa5xa8 means that democracy is completely unsuitable for [name of country] today and xa5xa710xa5xa8 means that it is  completely suitable, where would you place our country today?'"
7,
q98," 'here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. if xa5xa71xa5xa8 means that democracy is completely unsuitable for [name of country] today and xa5xa710xa5xa8 means that it is  completely suitable, where would you place our country today?'"
8,
q98," 'here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. if xa5xa71xa5xa8 means that democracy is completely unsuitable for [name of country] today and xa5xa710xa5xa8 means that it is  completely suitable, where would you place our country today?'"
97,'do not understand'
q111,   'people can join any organization they like without fear.people are free to speak what they think without fear.'
3,'somewhat disagree'
q112,   'how often do government officials withhold important information from the public view?'
3,'occasionally'
q123,"   'if you had to choose between democracy and economic development, which would you say is more important?'"
2,'economic development is somewhat more important'
q129,"   'whatever its faults may be, our form of government is still the best for us.'"
8,'canxa5x8ct choose'
q130,   'you can generally trust the people who run our government to do what is right. (hk: hong kong government)'
8,'canxa5x8ct choose'
q136,   'harmony of the community will be disrupted if people organize lots of groups.'
3,'somewhat disagree'
q137,"   'when judges decide important cases, they should accept the view of the executive branch.'"
3,'somewhat disagree'
q138,"   'if the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things.'"
3,'somewhat disagree'
q139,"   'if we have political leaders who are morally upright, we can let them decide everything.'"
3,'somewhat disagree'
q140,"   'if people have too many different ways of thinking, society will be chaotic.'"
3,'somewhat disagree'
q141,"   'when the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.'"
3,'somewhat disagree'
q151,   'a citizen who does not actively participate in the affairs of his local and national community is not performing his duties.(new)'**
3,'somewhat disagree'
q151,   'a citizen who does not actively participate in the affairs of his local and national community is not performing his duties.(new)'**
5,
q152,"   'citizens should always obey laws and regulations, even if they disagree with them.(new)'**"
5,
q152,"   'citizens should always obey laws and regulations, even if they disagree with them.(new)'**"
8,'canxa5x8ct choose'
q153,"   'a citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.""(new)'**"
5,
q154,   'how proud are you to be a citizen of (country)? are you? (new)n'
2,'somewhat proud'
q154,   'how proud are you to be a citizen of (country)? are you? (new)n'
7,'don't understand'
---,---
q20,are you a member of any organization or formal groups?*
2,'no'
q68,"'have you traveled abroad before? if you have, how often do you travel abroad? (new)'*"
7,'no answer'
q137,"   'when judges decide important cases, they should accept the view of the executive branch.'"
1,'strongly agree'
---,---
country,'country code'
1,'japan
country,'country code'
3,'korea
q1,   'how would you rate the overll economic condition of our country today?'
1,'very bad'
q2,   'how would you dsecribe the change in the economic condition of our country over the last few years?'
1,'much worse'
q11,'parliament'
1,'none at all'
q20,are you a member of any organization or formal groups?*
1,'yes'
q20,are you a member of any organization or formal groups?*
1,'yes'
q20,are you a member of any organization or formal groups?*
2,'no'
q20,are you a member of any organization or formal groups?*
2,'no'
q20,are you a member of any organization or formal groups?*
2,'no'
q67,'how closely do you follow major events in foreign countries / the world? (new)'*
7,'no answer'
q81,   'contacted elected officials or legislative representatives at any level.'
8,'can't choose'
se6,'religion'
75,'shinto'
se6,'religion'
85,'baha'i'
---,---
country,'country code'
11,'vietnam'
q24,"'how much trust do you have in esch of the following types of people? ""your relatives"" '"
1,'none at all'
se6,'religion'
71,'sikhism'
---,---
country,'country code'
2,'hong kong
country,'country code'
7,'taiwan'
q17,'17 television'**
8,"""can't choose"""
q20,are you a member of any organization or formal groups?*
1,'yes'
q20,are you a member of any organization or formal groups?*
2,'no'
q24,"'how much trust do you have in esch of the following types of people? ""your relatives"" '"
8,'canxa5x8ct choose'
q25,"'how much trust do you have in esch of the following types of people? ""your neighbors"" '"
8,'canxa5x8ct choose'
q154,   'how proud are you to be a citizen of (country)? are you? (new)n'
8,'canxa5x8ct choose'
se6,'religion'
1,'traditional folk religion (shenism)'
se6,'religion'
77,'i-kuan tao'
---,---
q49,'how interested would you say you are in politics?'
7,'no answer'
se6,'religion'
81,'jehovah witness'
se6,'religion'
82,'mormons'
---,---
country,'country code'
13,'malaysia'
country,'country code'
8,'thailand'
q8,'the courts'
7,'do not understand the question'
q9,'national government in the capital city'
7,'do not understand the question'
q10,'political parties'
7,'do not understand the question'
q13,'the military'
7,'do not understand the question'
q14,'the police'
7,'do not understand the question'
q15,'local government
7,'do not understand the question'
q20,are you a member of any organization or formal groups?*
1,'yes'
q20,are you a member of any organization or formal groups?*
1,'yes'
q20,are you a member of any organization or formal groups?*
1,'yes'
q20,are you a member of any organization or formal groups?*
2,'no'
q20,are you a member of any organization or formal groups?*
2,'no'
fgnum,number of formal group*
1,'one'
q25,"'how much trust do you have in esch of the following types of people? ""your neighbors"" '"
4,'a great deal of trust'
q52,"'when you get together with your family members or friends, how often do you discuss political matters?(new)'"
1,'frequently'
q52,"'when you get together with your family members or friends, how often do you discuss political matters?(new)'"
8,'canxa5x8ct choose'
q53,'how much impact do you feel government policies have on your daily life? (hong kong: beijing government)'*
4,'a great deal of impact'
q62,"'when dealing with others, securing onexa5x8cs immediate interests should be more important than developing a long-term relationship. (new)'"
4,'strongly disagree'
q67,'how closely do you follow major events in foreign countries / the world? (new)'*
1,'very closely'
q75,'cruel criminals should be punished immediately without regard to time-consuming legal processes. (new)'*
4,'strongly disagree'
q81,   'contacted elected officials or legislative representatives at any level.'
1,'once'
q81,   'contacted elected officials or legislative representatives at any level.'
2,'more than once'
q112,   'how often do government officials withhold important information from the public view?'
7,'don't understand'
q113,   'how often do national government officials abide by the law? (hong kong: hk government)n'
7,'don't understand'
q116,   'how well do you think the government responds to what people want?'
7,'don't understand'
q120,"   'in your opinion, is the government working to crackdown corruption and root out bribes? (new)'"
7,'don't understand'
q123,"   'if you had to choose between democracy and economic development, which would you say is more important?'"
4,'democracy is definitely more important '
q124,   'we should get rid of parliament and elections and have a strong leader decide things. '
4,'strongly disapprove'
q155,"   'given the chance, how willing would you be to go and live in another country? (new)'"
1,'very willing'
se6,'religion'
50,'hindu'
se6,'religion'
84,'anglican'
---,---
country,'country code'
4,'china'
q20,are you a member of any organization or formal groups?*
9,'decline to answer'
q20,are you a member of any organization or formal groups?*
1,'yes'
q25,"'how much trust do you have in esch of the following types of people? ""your neighbors"" '"
7,'don't understand'
q49,'how interested would you say you are in politics?'
9,'decline to answer'
q50,'how often do you follow news about politics and government?'*
9,'decline to answer'
q52,"'when you get together with your family members or friends, how often do you discuss political matters?(new)'"
9,'decline to answer'
q56,"'even if parents' demands are unreasonable, children still should do what they ask.'"
9,'decline to answer'
q67,'how closely do you follow major events in foreign countries / the world? (new)'*
9,'decline to answer'
q68,"'have you traveled abroad before? if you have, how often do you travel abroad? (new)'*"
9,'decline to answer'
q75,'cruel criminals should be punished immediately without regard to time-consuming legal processes. (new)'*
7,'don't understand'
q75,'cruel criminals should be punished immediately without regard to time-consuming legal processes. (new)'*
9,'decline to answer'
q77,'the most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure.'*
7,'don't understand'
q79,   'contacted government (administrative) official.'
7,'no answer'
q81,   'contacted elected officials or legislative representatives at any level.'
7,'no answer'
q96, 'where would you place our country under the present government?'
98,'can't choose'
q97, 'to what extent would you want our country to be democratic now?'
98,'can't choose'
q112,   'how often do government officials withhold important information from the public view?'
8,'canxa5x8ct choose'
q128,   'sometimes politics and government seems so complicated that a person like me canxa5x8ct really understand what is going on.'
9,'decline to answer'
q130,   'you can generally trust the people who run our government to do what is right. (hk: hong kong government)'
9,'decline to answer'
q135,   'the government should decide whether certain ideas should be allowed to be discussed in society.'
9,'decline to answer'
q136,   'harmony of the community will be disrupted if people organize lots of groups.'
7,'don't understand'
q138,"   'if the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things.'"
7,'don't understand'
q152,"   'citizens should always obey laws and regulations, even if they disagree with them.(new)'**"
9,'decline to answer'
se6,'religion'
99,'decline to answer'/
---,---
q5,   'how would you compare the current economic condition of your family with what it was a few years ago?'
9,'decline to answer'
